Financiera,Mes,Valor
ENSUEÑO,"Mayo, 24",0
FINANMADRID,"Mayo, 24",0
INBURSA,"Mayo, 24",0
MSTART,"Mayo, 24",0
NEXU,"Mayo, 24",0
SANTANDER,"Mayo, 24",0
SCOTIABANK,"Mayo, 24",0
SUMAFIN,"Mayo, 24",0
BAJIO,"Mayo, 24",0
KUNA,"Mayo, 24",0
ABC,"Junio, 24",0
AFIRME,"Junio, 24",0
BANORTE,"Junio, 24",0
BBVA,"Junio, 24",0
ENSUEÑO,"Junio, 24",0
FINANMADRID,"Junio, 24",0
INBURSA,"Junio, 24",0
MSTART,"Junio, 24",0
NEXU,"Junio, 24",0
SANTANDER,"Junio, 24",0
SCOTIABANK,"Junio, 24",0
SUMAFIN,"Junio, 24",0
BAJIO,"Junio, 24",0
KUNA,"Junio, 24",0
ABC,"Julio, 24",0
AFIRME,"Julio, 24",0
BANORTE,"Julio, 24",0
BBVA,"Julio, 24",0
ENSUEÑO,"Julio, 24",0
FINANMADRID,"Julio, 24",0
INBURSA,"Julio, 24",0
MSTART,"Julio, 24",0
NEXU,"Julio, 24",0
SANTANDER,"Julio, 24",0
SCOTIABANK,"Julio, 24",0
SUMAFIN,"Julio, 24",0
BAJIO,"Julio, 24",0
KUNA,"Julio, 24",0
ABC,"Agosto, 24",0
AFIRME,"Agosto, 24",0
BANORTE,"Agosto, 24",0
BBVA,"Agosto, 24",0
ENSUEÑO,"Agosto, 24",0
FINANMADRID,"Agosto, 24",0
INBURSA,"Agosto, 24",0
MSTART,"Agosto, 24",0
NEXU,"Agosto, 24",0
SANTANDER,"Agosto, 24",0
SCOTIABANK,"Agosto, 24",0
SUMAFIN,"Agosto, 24",0
BAJIO,"Agosto, 24",0
KUNA,"Agosto, 24",0
ABC,"Septiembre, 24",0
AFIRME,"Septiembre, 24",18
BANORTE,"Septiembre, 24",1
BBVA,"Septiembre, 24",12
ENSUEÑO,"Septiembre, 24",0
FINANMADRID,"Septiembre, 24",0
INBURSA,"Septiembre, 24",0
MSTART,"Septiembre, 24",0
NEXU,"Septiembre, 24",19
SANTANDER,"Septiembre, 24",1
SCOTIABANK,"Septiembre, 24",0
SUMAFIN,"Septiembre, 24",0
BAJIO,"Septiembre, 24",0
KUNA,"Septiembre, 24",0
ABC,"Octubre, 24",0
AFIRME,"Octubre, 24",23
BANORTE,"Octubre, 24",1
BBVA,"Octubre, 24",25
ENSUEÑO,"Octubre, 24",0
FINANMADRID,"Octubre, 24",1
INBURSA,"Octubre, 24",0
MSTART,"Octubre, 24",0
NEXU,"Octubre, 24",31
SANTANDER,"Octubre, 24",0
SCOTIABANK,"Octubre, 24",0
SUMAFIN,"Octubre, 24",0
BAJIO,"Octubre, 24",0
KUNA,"Octubre, 24",0
ABC,"Noviembre, 24",0
AFIRME,"Noviembre, 24",37
BANORTE,"Noviembre, 24",2
BBVA,"Noviembre, 24",10
ENSUEÑO,"Noviembre, 24",0
FINANMADRID,"Noviembre, 24",0
INBURSA,"Noviembre, 24",0
MSTART,"Noviembre, 24",0
NEXU,"Noviembre, 24",27
SANTANDER,"Noviembre, 24",0
SCOTIABANK,"Noviembre, 24",0
SUMAFIN,"Noviembre, 24",0
BAJIO,"Noviembre, 24",0
KUNA,"Noviembre, 24",0
ABC,"Diciembre, 24",0
AFIRME,"Diciembre, 24",42
BANORTE,"Diciembre, 24",4
BBVA,"Diciembre, 24",14
ENSUEÑO,"Diciembre, 24",0
FINANMADRID,"Diciembre, 24",0
INBURSA,"Diciembre, 24",0
MSTART,"Diciembre, 24",0
NEXU,"Diciembre, 24",42
SANTANDER,"Diciembre, 24",1
SCOTIABANK,"Diciembre, 24",0
SUMAFIN,"Diciembre, 24",0
BAJIO,"Diciembre, 24",0
KUNA,"Diciembre, 24",0
ABC,"Enero, 25",0
AFIRME,"Enero, 25",0
BANORTE,"Enero, 25",31
BBVA,"Enero, 25",4
ENSUEÑO,"Enero, 25",13
FINANMADRID,"Enero, 25",0
INBURSA,"Enero, 25",0
MSTART,"Enero, 25",0
NEXU,"Enero, 25",0
SANTANDER,"Enero, 25",35
SCOTIABANK,"Enero, 25",0
SUMAFIN,"Enero, 25",0
BAJIO,"Enero, 25",0
KUNA,"Enero, 25",0
ABC,"Febrero, 25",0
AFIRME,"Febrero, 25",0
BANORTE,"Febrero, 25",41
BBVA,"Febrero, 25",7
ENSUEÑO,"Febrero, 25",7
FINANMADRID,"Febrero, 25",1
INBURSA,"Febrero, 25",0
MSTART,"Febrero, 25",4
NEXU,"Febrero, 25",0
SANTANDER,"Febrero, 25",13
SCOTIABANK,"Febrero, 25",3
SUMAFIN,"Febrero, 25",0
BAJIO,"Febrero, 25",0
KUNA,"Febrero, 25",0
ABC,"Marzo, 25",0
AFIRME,"Marzo, 25",0
BANORTE,"Marzo, 25",31
BBVA,"Marzo, 25",3
ENSUEÑO,"Marzo, 25",7
FINANMADRID,"Marzo, 25",0
INBURSA,"Marzo, 25",0
MSTART,"Marzo, 25",9
NEXU,"Marzo, 25",0
SANTANDER,"Marzo, 25",40
SCOTIABANK,"Marzo, 25",0
SUMAFIN,"Marzo, 25",0
BAJIO,"Marzo, 25",0
KUNA,"Marzo, 25",0
ABC,"Abril, 25",0
AFIRME,"Abril, 25",0
BANORTE,"Abril, 25",16
BBVA,"Abril, 25",3
ENSUEÑO,"Abril, 25",1
FINANMADRID,"Abril, 25",0
INBURSA,"Abril, 25",0
MSTART,"Abril, 25",10
NEXU,"Abril, 25",0
SANTANDER,"Abril, 25",29
SCOTIABANK,"Abril, 25",0
SUMAFIN,"Abril, 25",0
BAJIO,"Abril, 25",0
KUNA,"Abril, 25",0
ABC,"Mayo, 25",0
AFIRME,"Mayo, 25",0
BANORTE,"Mayo, 25",44
BBVA,"Mayo, 25",9
ENSUEÑO,"Mayo, 25",4
FINANMADRID,"Mayo, 25",0
INBURSA,"Mayo, 25",0
MSTART,"Mayo, 25",8
NEXU,"Mayo, 25",0
SANTANDER,"Mayo, 25",9
SCOTIABANK,"Mayo, 25",2
SUMAFIN,"Mayo, 25",0
BAJIO,"Mayo, 25",0
KUNA,"Mayo, 25",0
ABC,"Junio, 25",1
AFIRME,"Junio, 25",0
BANORTE,"Junio, 25",47
BBVA,"Junio, 25",3
ENSUEÑO,"Junio, 25",6
FINANMADRID,"Junio, 25",0
INBURSA,"Junio, 25",0
MSTART,"Junio, 25",10
NEXU,"Junio, 25",0
SANTANDER,"Junio, 25",30
SCOTIABANK,"Junio, 25",0
SUMAFIN,"Junio, 25",0
BAJIO,"Junio, 25",0
KUNA,"Junio, 25",0
ABC,"Julio, 25",0
AFIRME,"Julio, 25",1
